Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,Read Count,Owned Copies,clean_genre_list,date_read,date_added,Title_shorten,book_title,timelines,add_to_tbr_dt,start_reading_dt,finish_reading_dt,genre_list,is_nonfiction,is_fiction,genre_list_trf,year_read,month_read,year_added,month_added
14891980,The 5 Elements of Effective Thinking,Edward B. Burger,"Burger, Edward B.",Michael Starbird,"=""0691156662""","=""9780691156668""",0,4.0,Princeton University Press,Hardcover,157.0,2012.0,2012.0,,2022/04/30,to-read,to-read (#154),to-read,0,0,"['Nonfiction', 'Psychology', 'Self Help', 'Business', 'Productivity', 'Audiobook', 'Philosophy', 'Education', 'Leadership']",,2022-04-30,The 5 Elements of Effective Thinking,The 5 Elements of Effective Thinking,"['April 30, 2022 – Shelved', 'April 30, 2022 – Shelved as: to-read']",2022-04-30,,,"['Nonfiction', 'Psychology', 'Self Help', 'Business', 'Productivity', 'Audiobook', 'Philosophy', 'Education', 'Leadership']",1,0,"['Psychology', 'Self Help', 'Business', 'Productivity', 'Audiobook', 'Philosophy', 'Education', 'Leadership']",,,2022,4
13525945,So Good They Can't Ignore You: Why Skills Trump Passion in the Quest for Work You Love,Cal Newport,"Newport, Cal",,"=""1455509108""","=""9781455509102""",0,4.08,Business Plus,ebook,288.0,2012.0,2012.0,,2022/04/23,to-read,to-read (#153),to-read,0,0,"['Nonfiction', 'Self Help', 'Business', 'Productivity', 'Psychology', 'Audiobook', 'Philosophy', 'Leadership', 'Education']",,2022-04-23,So Good They Can't Ignore You: Why Skills Trump Passion in the Quest for Work You Love,So Good They Can't Ignore You: Why Skills Trump Passion in the Quest for Work You Love,"['April 23, 2022 – Shelved as: to-read', 'April 23, 2022 – Shelved']",2022-04-23,,,"['Nonfiction', 'Self Help', 'Business', 'Productivity', 'Psychology', 'Audiobook', 'Philosophy', 'Leadership', 'Education']",1,0,"['Self Help', 'Business', 'Productivity', 'Psychology', 'Audiobook', 'Philosophy', 'Leadership', 'Education']",,,2022,4
6346975,Moonwalking with Einstein: The Art and Science of Remembering Everything,Joshua Foer,"Foer, Joshua",,"=""159420229X""","=""9781594202292""",0,3.88,"Penguin Press HC, The",Hardcover,307.0,2011.0,2011.0,,2022/04/16,to-read,to-read (#152),to-read,0,0,"['Nonfiction', 'Science', 'Psychology', 'Self Help', 'Autobiography', 'Audiobook', 'Education', 'Biography', 'Neuroscience']",,2022-04-16,Moonwalking with Einstein: The Art and Science of Remembering Everything,Moonwalking with Einstein: The Art and Science of Remembering Everything,"['April 16, 2022 – Shelved as: to-read', 'April 16, 2022 – Shelved']",2022-04-16,,,"['Nonfiction', 'Science', 'Psychology', 'Self Help', 'Autobiography', 'Audiobook', 'Education', 'Biography', 'Neuroscience']",1,0,"['Science', 'Psychology', 'Self Help', 'Autobiography', 'Audiobook', 'Education', 'Biography', 'Neuroscience']",,,2022,4
37880811,Make Time: How to Focus on What Matters Every Day,Jake Knapp,"Knapp, Jake",John Zeratsky,"=""0525572422""","=""9780525572428""",0,4.09,Currency,Hardcover,287.0,2018.0,2018.0,,2022/04/11,to-read,to-read (#151),to-read,0,0,"['Nonfiction', 'Self Help', 'Productivity', 'Business', 'Psychology', 'Audiobook', 'Design', 'Leadership']",,2022-04-11,Make Time: How to Focus on What Matters Every Day,Make Time: How to Focus on What Matters Every Day,"['April 11, 2022 – Shelved as: to-read', 'April 11, 2022 – Shelved']",2022-04-11,,,"['Nonfiction', 'Self Help', 'Productivity', 'Business', 'Psychology', 'Audiobook', 'Design', 'Leadership']",1,0,"['Self Help', 'Productivity', 'Business', 'Psychology', 'Audiobook', 'Design', 'Leadership']",,,2022,4
52200318,"The Great Mental Models, Volume 2: Physics, Chemistry and Biology",Shane Parrish,"Parrish, Shane",Rhiannon Beaubien,"=""1999449037""","=""9781999449032""",0,4.21,Latticework Publishing Inc.,Hardcover,397.0,2020.0,2019.0,,2020/07/31,currently-reading,currently-reading (#7),currently-reading,1,0,"['Psychology', 'Science', 'Nonfiction', 'Philosophy', 'Business', 'Self Help', 'Productivity']",,2020-07-31,"The Great Mental Models, Volume 2: Physics, Chemistry and Biology","The Great Mental Models, Volume 2: Physics, Chemistry and Biology","['July 31, 2020 – Shelved', 'July 31, 2020 – Shelved as: to-read', 'March 19, 2022 –  Started Reading']",2020-07-31,2022-03-19,,"['Psychology', 'Science', 'Nonfiction', 'Philosophy', 'Business', 'Self Help', 'Productivity']",1,0,"['Psychology', 'Science', 'Philosophy', 'Business', 'Self Help', 'Productivity']",,,2020,7
6568149,Problem Solving 101: A Simple Book for Smart People,Ken Watanabe,"Watanabe, Ken",,"=""""","=""""",5,4.13,,Kindle Edition,,,2007.0,2022/03/13,2022/03/12,,,read,1,0,"['Nonfiction', 'Self Help', 'Business', 'Psychology', 'Productivity', 'Education', 'Science', 'Design']",2022-03-13,2022-03-12,Problem Solving 101: A Simple Book for Smart People,Problem Solving 101: A Simple Book for Smart People,"['March 12, 2022 –  Started Reading', 'March 12, 2022 – Shelved', 'March 13, 2022 –  Finished Reading']",,2022-03-12,2022-03-13,"['Nonfiction', 'Self Help', 'Business', 'Psychology', 'Productivity', 'Education', 'Science', 'Design']",1,0,"['Self Help', 'Business', 'Psychology', 'Productivity', 'Education', 'Science', 'Design']",2022.0,3.0,2022,3
40653148,Light from Other Stars,Erika Swyler,"Swyler, Erika",,"=""1635573165""","=""9781635573169""",3,3.82,Bloomsbury Publishing,Hardcover,305.0,2019.0,2019.0,2022/03/11,2022/02/23,,,read,1,0,"['Fiction', 'Science Fiction', 'Historical', 'Fantasy', 'Literary Fiction', 'Adult', 'Science Fiction Fantasy', 'Space', 'Speculative Fiction', 'Adult Fiction']",2022-03-11,2022-02-23,Light from Other Stars,Light from Other Stars,"['February 23, 2022 – Shelved as: to-read', 'February 23, 2022 – Shelved', 'March  1, 2022 –  Started Reading', 'March 11, 2022 –  Finished Reading']",2022-02-23,2022-03-01,2022-03-11,"['Fiction', 'Science Fiction', 'Historical', 'Fantasy', 'Literary Fiction', 'Adult', 'Science Fiction Fantasy', 'Space', 'Speculative Fiction', 'Adult Fiction']",0,1,"['Science Fiction', 'Historical', 'Fantasy', 'Literary Fiction', 'Adult', 'Science Fiction Fantasy', 'Space', 'Speculative Fiction', 'Adult Fiction']",2022.0,3.0,2022,2
35398627,Other Words for Home,Jasmine Warga,"Warga, Jasmine",,"=""""","=""""",0,4.46,Balzer + Bray,Kindle Edition,352.0,2019.0,2019.0,,2022/03/02,to-read,to-read (#150),to-read,0,0,"['Childrens', 'Poetry', 'Contemporary', 'Fiction', 'Realistic Fiction', 'Young Adult', 'Audiobook', 'Family', 'Cultural']",,2022-03-02,Other Words for Home,Other Words for Home,"['March  2, 2022 – Shelved', 'March  2, 2022 – Shelved as: to-read']",2022-03-02,,,"['Childrens', 'Poetry', 'Contemporary', 'Fiction', 'Realistic Fiction', 'Young Adult', 'Audiobook', 'Family', 'Cultural']",0,1,"['Childrens', 'Poetry', 'Contemporary', 'Realistic Fiction', 'Young Adult', 'Audiobook', 'Family', 'Cultural']",,,2022,3
39280445,Nine Perfect Strangers,Liane Moriarty,"Moriarty, Liane",,"=""1250069823""","=""9781250069825""",4,3.53,Flatiron Books,Hardcover,453.0,2018.0,2018.0,2022/03/01,2022/02/23,,,read,1,0,"['Fiction', 'Contemporary', 'Audiobook', 'Mystery', 'Thriller', 'Womens Fiction', 'Adult', 'Adult Fiction', 'Cultural']",2022-03-01,2022-02-23,Nine Perfect Strangers,Nine Perfect Strangers,"['February 23, 2022 – Shelved', 'February 23, 2022 – Shelved as: to-read', 'February 27, 2022 –  Started Reading', 'March  1, 2022 –  Finished Reading']",2022-02-23,2022-02-27,2022-03-01,"['Fiction', 'Contemporary', 'Audiobook', 'Mystery', 'Thriller', 'Womens Fiction', 'Adult', 'Adult Fiction', 'Cultural']",0,1,"['Contemporary', 'Audiobook', 'Mystery', 'Thriller', 'Womens Fiction', 'Adult', 'Adult Fiction', 'Cultural']",2022.0,3.0,2022,2
55004093,The Cartographers,Peng Shepherd,"Shepherd, Peng",,"=""0062910698""","=""9780062910691""",0,3.77,William Morrow,Hardcover,400.0,2022.0,2022.0,,2022/02/23,to-read,to-read (#149),to-read,0,0,"['Fantasy', 'Mystery', 'Fiction', 'Thriller', 'Magical Realism', 'Adult', 'Audiobook', 'Writing', 'Science Fiction']",,2022-02-23,The Cartographers,The Cartographers,"['February 23, 2022 – Shelved as: to-read', 'February 23, 2022 – Shelved']",2022-02-23,,,"['Fantasy', 'Mystery', 'Fiction', 'Thriller', 'Magical Realism', 'Adult', 'Audiobook', 'Writing', 'Science Fiction']",0,1,"['Fantasy', 'Mystery', 'Thriller', 'Magical Realism', 'Adult', 'Audiobook', 'Writing', 'Science Fiction']",,,2022,2
